score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year
300,Sermons Preached and Revised by C. H. Spurgeon,Charles Haddon Spurgeon,https://archive.org/download/sermonspreached08unkngoog/sermonspreached08unkngoog_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1860
299,"Glad Tidings: Comprising Sermons and Prayer-meeting Talks Delivered at the N.Y. Hippodrome, from ...",Dwight Lyman Moody,https://archive.org/download/gladtidingscomp00moodgoog/gladtidingscomp00moodgoog_djvu.txt,Prayer,Moody Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain prayer resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1876
298,Hymns for the Church on Earth: Being Three Hundred Hymns and Spiritual Songs (for the Most Part ...,John Charles Ryle,https://archive.org/download/hymnsforchurcho00rylegoog/hymnsforchurcho00rylegoog_djvu.txt,Christian Living,Ryle Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1867
297,the christ-life for the self-life,f. b. meyer,https://archive.org/download/christlifeforsel0000fbme_p1q3/christlifeforsel0000fbme_p1q3_djvu.txt,Bible study helps,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1897
296,The Present Tense of The Blessed Life,F. B. Meyer,https://archive.org/download/presenttenseofbl0000fbme/presenttenseofbl0000fbme_djvu.txt,Christian Living,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1892
295,The Lord's Table: A Help to the Right Observance of the Holy Supper,Andrew Murray,https://archive.org/download/lordstableahelp00murrgoog/lordstableahelp00murrgoog_djvu.txt,Christian Living,Andrew Murray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1897
294,"Journal of the Society of Arts, Vol. 3, no. 115",P. LE NEVE FOSTER; Andrew Murray; John Roberts; WILLIAM LONGMAID; Samuel Collett Homersham,https://archive.org/download/jstor-41323547/41323547_djvu.txt,Christian Living,Andrew Murray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1855
293,"Last sheaves, sermons",Alexander Maclaren,https://archive.org/download/lastsheavesserm00maclgoog/lastsheavesserm00maclgoog_djvu.txt,Preaching & Teaching,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1903
292,"The Psalms, vol. III: Psalms XC-CL",Alexander Maclaren,https://archive.org/download/psalmsvoliiipsal0003alex/psalmsvoliiipsal0003alex_djvu.txt,Christian Living,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1903
291,Paul's prayers and other sermons,Alexander Maclaren,https://archive.org/download/paulsprayersothe0000alex/paulsprayersothe0000alex_djvu.txt,Prayer,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain prayer resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1892
290,The victor's crowns and other sermons,Alexander Maclaren,https://archive.org/download/victorscrownsoth0000alex/victorscrownsoth0000alex_djvu.txt,Preaching & Teaching,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1902
289,the god of the amen and other sermons,Alexander Maclaren,https://archive.org/download/godofamenotherse0000alex_y0m3/godofamenotherse0000alex_y0m3_djvu.txt,Preaching & Teaching,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1905
288,Life of David as Reflected in his Psalms,Alexander Maclaren,https://archive.org/download/lifeofdavidasref0000alex_u6h2/lifeofdavidasref0000alex_u6h2_djvu.txt,Christian Living,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1903
287,Sermons Preached in Manchester (Second Series),alexander maclaren,https://archive.org/download/sermonspreachedi0000unse_l1c6/sermonspreachedi0000unse_l1c6_djvu.txt,Preaching & Teaching,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1875
286,the wearied christ and other sermons,ALEXANDER MACLAREN,https://archive.org/download/weariedchristoth0000alex/weariedchristoth0000alex_djvu.txt,Preaching & Teaching,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1893
285,A Year's Ministry First Series,Alexander Maclaren,https://archive.org/download/yearsministryfir0000unse/yearsministryfir0000unse_djvu.txt,Christian Living,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1902
284,The Books of Isaiah and Jeremiah,Alexander Maclaren,https://archive.org/download/bwb_S0-BNA-060/bwb_S0-BNA-060_djvu.txt,Christian Living,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1906
