score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year
220,"The Salt-cellars: Being a Collection of Proverbs, Together with Homely Notes Theron",Charles Haddon Spurgeon,https://archive.org/download/saltcellarsbein00spurgoog/saltcellarsbein00spurgoog_djvu.txt,Christian Living,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1889
219,Peter Fisherman Disciple Apostle,F. B. Meyer,https://archive.org/download/in.ernet.dli.2015.88750/2015.88750.Peter-Fisherman-Disciple-Apostle_djvu.txt,Christian Living,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1920
218,"Five "" Musts"" of the Christian Life and other semons",F. B. meyer,https://archive.org/download/fivemustsofchris0000fbme/fivemustsofchris0000fbme_djvu.txt,Bible study helps,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1927
217,Steps into the blessed life,F. B. Meyer,https://archive.org/download/stepsintoblessed0000unse/stepsintoblessed0000unse_djvu.txt,Christian Living,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1896
216,"Five Musts Of The Christian Life, Or, 5 Things Christians Must Do",F. B. Meyer,https://archive.org/download/five-musts-of-the-christian-life-or-5-things-christians-must-do/Five%20Musts%20of%20the%20Christian%20Life%2C%20Doc%201%20(Original%20Scan)_djvu.txt,Bible study helps,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1927
215,Paul a servant of Jesus Christ,F. B. Meyer,https://archive.org/download/paulservantofjes0000fbme_p5o4/paulservantofjes0000fbme_p5o4_djvu.txt,Bible study helps,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1897
214,The book of Genesis,Alexander Maclaren,https://archive.org/download/bookgenesis00maclgoog/bookgenesis00maclgoog_djvu.txt,Christian Living,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1906
213,Sermons Preached in Manchester ...,Alexander Maclaren,https://archive.org/download/sermonspreached02maclgoog/sermonspreached02maclgoog_djvu.txt,Preaching & Teaching,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1875
212,A year's ministry,Alexander Maclaren,https://archive.org/download/ayearsministry00maclgoog/ayearsministry00maclgoog_djvu.txt,Christian Living,Maclaren Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1884
211,COMMENTARY ON THE GOSPEL OF MARK,John A. Broadus,https://archive.org/download/commentaryongosp0000unse_z1r8/commentaryongosp0000unse_z1r8_djvu.txt,Commentaries,Baptist Preaching Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain commentaries resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1905
210,a harmony of the gospels,John A. Broadus,https://archive.org/download/harmonyofgospels0000john/harmonyofgospels0000john_djvu.txt,Bible study helps,Baptist Preaching Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1893
209,The Treatise On The Preparation and Delivery Of Sermons,John A. Broadus,https://archive.org/download/bwb_C0-AQU-075/bwb_C0-AQU-075_djvu.txt,Preaching & Teaching,Baptist Preaching Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1893
208,On the preparation and delivery of sermons,John A. Broadus,https://archive.org/download/onpreparationdel0000john_m5y2/onpreparationdel0000john_m5y2_djvu.txt,Preaching & Teaching,Baptist Preaching Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1926
207,Lectures of the History of Preaching,John A. Broadus,https://archive.org/download/bwb_C0-AFO-516/bwb_C0-AFO-516_djvu.txt,Preaching & Teaching,Baptist Preaching Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1893
206,the preparation and delivery of sermons,john a. broadus,https://archive.org/download/preparationdeliv0000john/preparationdeliv0000john_djvu.txt,Preaching & Teaching,Baptist Preaching Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1870
205,The Cause of God and Truth ...,John Gill,https://archive.org/download/causegodandtrut00gillgoog/causegodandtrut00gillgoog_djvu.txt,Christian Living,Historic Baptist Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1736
204,"A Complete Body of Doctrinal and Practical Divinity: Or, A System of Evangelical Truths, Deduced ...",John Gill,https://archive.org/download/acompletebodydo02gillgoog/acompletebodydo02gillgoog_djvu.txt,Christian Living,Historic Baptist Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1796
203,"The Works of the Reverend George Whitefield, M.A...: Containing All His Sermons and Tracts which ...",George Whitefield,https://archive.org/download/worksreverendge04whitgoog/worksreverendge04whitgoog_djvu.txt,Preaching & Teaching,Great Awakening Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1771
202,"The Christian's companion: or, Sermons on several subjects",George Whitefield,https://archive.org/download/christianscompa00whitgoog/christianscompa00whitgoog_djvu.txt,Preaching & Teaching,Great Awakening Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching & teaching resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1739
201,A Collection of Hymns for Social Worship: More Particularly Designed for the ...,George Whitefield,https://archive.org/download/acollectionhymn01whitgoog/acollectionhymn01whitgoog_djvu.txt,Christian Living,Great Awakening Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1801
200,"Hymns and Spiritual Songs: In Three Books. ... By I. Watts, D.D.",Isaac Watts,https://archive.org/download/hymnsandspiritu00wattgoog/hymnsandspiritu00wattgoog_djvu.txt,Christian Living,Hymns and Worship,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1773
199,preacher and prayer,e. m. bounds,https://archive.org/download/preacherprayer0000embo_d1l5/preacherprayer0000embo_d1l5_djvu.txt,Prayer,Bounds Prayer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain prayer resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1907
198,Purpose in Prayer,E. M. Bounds,https://archive.org/download/bwb_P9-ECT-954/bwb_P9-ECT-954_djvu.txt,Prayer,Bounds Prayer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain prayer resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1920
197,POWER THROUGH PRAYER,E. M. BOUNDS,https://archive.org/download/powerthroughpray0000embo_t0i6/powerthroughpray0000embo_t0i6_djvu.txt,Prayer,Bounds Prayer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain prayer resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1900
196,the annotated bible; the holy scriptures annalysed and annotated,a. c. gaebelein,https://archive.org/download/annotatedbibleho0000acga/annotatedbibleho0000acga_djvu.txt,Bible study helps,Gaebelein Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1917
195,"Notes on the Epistle of Paul to the Romans, with a new transl",William Kelly,https://archive.org/download/notesonepistlep00kellgoog/notesonepistlep00kellgoog_djvu.txt,Commentaries,William Kelly Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain commentaries resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1873
194,Spiritual songs,J. N. Darby,https://archive.org/download/spiritualsongs0000unse_c0m4/spiritualsongs0000unse_c0m4_djvu.txt,Christian Living,Darby Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1836
193,Notes and comments on scripture,J. N. Darby,https://archive.org/download/bwb_S0-ASP-821/bwb_S0-ASP-821_djvu.txt,Bible study helps,Darby Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1913
192,Spiritism and the Fallen Angels in the Light of the Old and New Testaments,James M. Gray,https://archive.org/download/spiritismfallena0000jame/spiritismfallena0000jame_djvu.txt,Bible study helps,James M. Gray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1920
191,Prophecy And The Lord's Return,James M. Gray,https://archive.org/download/prophecylordsret0000jame_h0q3/prophecylordsret0000jame_h0q3_djvu.txt,Christian Living,James M. Gray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1917
190,The Bulwarks of the faith,James M. Gray,https://archive.org/download/bulwarksoffaith0000jame/bulwarksoffaith0000jame_djvu.txt,Bible study helps,James M. Gray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1899
189,Primers of the FAith,James M. Gray,https://archive.org/download/bwb_T5-ARJ-785/bwb_T5-ARJ-785_djvu.txt,Bible study helps,James M. Gray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1906
188,Lessons Of The Welsh Revival,G. Campbell Morgan,https://archive.org/download/lessons-of-the-welsh-revival-g-campbell-morgan/Lessons-of-the-Welsh-Revival-Print_djvu.txt,Christian Living,G. Campbell Morgan Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1905
187,the acts pf the apostles,g. campbell morgan,https://archive.org/download/actspfapostles0000gcam/actspfapostles0000gcam_djvu.txt,Christian Living,G. Campbell Morgan Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1924
186,Living Messages of the Books of the Bible: Old and New Testaments,G. Campbell Morgan,https://archive.org/download/livingmessagesof0000gcam_p4q1/livingmessagesof0000gcam_p4q1_djvu.txt,Bible study helps,G. Campbell Morgan Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1912
185,God's Methods with Man,G. Campbell Morgan,https://archive.org/download/godsmethodswithm0000unse/godsmethodswithm0000unse_djvu.txt,Christian Living,G. Campbell Morgan Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain christian living resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1898
184,"Living Messages of the Books of the Bible; Genesis to Revelation, Matthew to Revelation, Complete in Two Double Volumes.",G. Campbell Morgan,https://archive.org/download/livingmessagesof0000unse/livingmessagesof0000unse_djvu.txt,Bible study helps,G. Campbell Morgan Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain bible study helps resource for Bible study, teaching, preaching, devotional reading, or historical research. OCR text must be spot-checked before quotation.",1912
