score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year
190,An Open Letter on Translating,Martin Luther,https://www.gutenberg.org/ebooks/272,KJV/Textual Issues,Bible Translation History,verified public domain,reviewed,Historical Lutheran source; Project Gutenberg terms; use with discernment,Primary-source Reformation discussion of Bible translation. Use for translation history and compare all conclusions with Scripture.,1530
190,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,Martin Luther,https://www.gutenberg.org/ebooks/274,Classics,Reformation Primary Sources,verified public domain,reviewed,Historical Lutheran source; Project Gutenberg terms; use with discernment,Primary-source Reformation document for church-history study and teaching preparation.,1517
185,Concerning Christian Liberty,Martin Luther,https://www.gutenberg.org/ebooks/1911,Classics,Reformation Primary Sources,verified public domain,reviewed,Historical Lutheran source; Project Gutenberg terms; use with discernment,Historical Reformation work on Christian liberty. Compare doctrinal conclusions with Scripture.,1520
175,Selections from the Table Talk of Martin Luther,Martin Luther,https://www.gutenberg.org/ebooks/9841,Classics,Reformation Primary Sources,verified public domain,reviewed,Historical Lutheran source; edited collection; Project Gutenberg terms; use with discernment,Historical selections for Reformation study quotations and sermon-background research. Verify quotations in context.,1857
170,Works of Martin Luther with Introductions and Notes Volume I,Martin Luther,https://www.gutenberg.org/ebooks/31604,Classics,Reformation Primary Sources,verified public domain,reviewed,Historical Lutheran source; edited collection; Project Gutenberg terms; use with discernment,Collected primary and historical Reformation writings for church-history research.,1915
170,Works of Martin Luther with Introductions and Notes Volume II,Martin Luther,https://www.gutenberg.org/ebooks/34904,Classics,Reformation Primary Sources,verified public domain,reviewed,Historical Lutheran source; edited collection; Project Gutenberg terms; use with discernment,Collected primary and historical Reformation writings for church-history research.,1916
210,Coming to the King,Frances Ridley Havergal,https://www.gutenberg.org/ebooks/10630,Prayer,Devotional Classics,verified public domain,reviewed,Historical devotional poetry; Project Gutenberg terms; quote spot-check,Public-domain devotional poems on prayer and approaching God for personal reading family worship and teaching illustrations.,1886
200,Morning Bells or Waking Thoughts for Little Ones,Frances Ridley Havergal,https://www.gutenberg.org/ebooks/11563,Christian Living,Family Devotionals,verified public domain,reviewed,Historical children's devotional; Project Gutenberg terms; use with discernment,Short public-domain devotional readings for family worship children's lessons and spiritual formation.,1880
215,Kept for the Master's Use,Frances Ridley Havergal,https://www.gutenberg.org/ebooks/31647,Christian Living,Devotional Classics,verified public domain,reviewed,Historical devotional; Project Gutenberg terms; use with discernment,Public-domain Christian-life devotional on consecration and service for personal reading and teaching preparation.,1879
225,Quiet Talks with World Winners,S. D. Gordon,https://www.gutenberg.org/ebooks/12799,Missions,Quiet Talks Collection,verified public domain,reviewed,Historical missions teaching; Project Gutenberg terms; use with discernment,Public-domain missions and prayer study for missionary emphasis ministry training and teaching preparation.,1908
230,And Judas Iscariot Together with Other Evangelistic Addresses,J. Wilbur Chapman,https://www.gutenberg.org/ebooks/23096,Evangelism,Evangelistic Sermons,verified public domain,reviewed,Historical Presbyterian sermons; Project Gutenberg terms; use with discernment,Public-domain evangelistic addresses for sermon research illustration discovery and evangelism training.,1906
245,A Bird's-Eye View of the Bible Second Edition,Frank Nelson Palmer and J. Wilbur Chapman,https://www.gutenberg.org/ebooks/16461,Bible Survey / Whole Bible / Commentary Helps,Whole Bible Survey,verified public domain,reviewed,Historical survey; Project Gutenberg terms; use with discernment,Public-domain whole-Bible survey for book overviews lesson preparation and Bible-study orientation.,1914
205,Seven Graded Sunday Schools: A Series of Practical Papers,Jesse Lyman Hurlbut,https://www.gutenberg.org/ebooks/32278,Preaching & Teaching,Sunday School Teaching,verified public domain,reviewed,Historical teaching methods; Project Gutenberg terms; adapt carefully,Public-domain Sunday school organization and teacher-training resource for historical ideas and ministry planning.,1911
200,Female Scripture Biography Volume I,Francis Augustus Cox,https://www.gutenberg.org/ebooks/9782,Biographies,Bible Character Studies,verified public domain,reviewed,Historical Baptist author; Project Gutenberg terms; use with discernment,Public-domain studies of women in Scripture for character study teaching preparation and devotional reading.,1817
185,Dr. Scudder's Tales for Little Readers About the Heathen,John Scudder,https://www.gutenberg.org/ebooks/13539,Missions,Missionary Stories,verified public domain,reviewed,Historical missionary language; children's material; Project Gutenberg terms; use with discernment,Historical missionary stories for missions research and carefully adapted teaching illustrations. Review dated language before use.,1849
