title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"Dispensational Truth: or, God's Plan and Purpose in the Ages",Clarence Larkin,https://archive.org/download/dispensationaltr0000clar/dispensationaltr0000clar_djvu.txt,KJV / Textual Issues,Larkin,verified public domain,reviewed,Use with discernment,"Classic Baptist dispensational study resource. Keep Scripture primary and note that charts/images may not be represented in plain text."
The Spirit World,Clarence Larkin,https://archive.org/download/spiritworld0000revc/spiritworld0000revc_djvu.txt,KJV / Textual Issues,Larkin,verified public domain,reviewed,Use with discernment,"Public-domain Larkin study resource for prophecy and doctrine review with Scripture-first caution."
The Book of Revelation,Clarence Larkin,https://archive.org/download/bookofrevelation0000clar_c9f4/bookofrevelation0000clar_c9f4_djvu.txt,Commentaries,Larkin,verified public domain,reviewed,Use with discernment,"Public-domain Revelation study resource; useful for comparison after reading the KJV text."
The Book of Daniel,Clarence Larkin,https://archive.org/download/bookofdaniel00lark/bookofdaniel00lark_djvu.txt,Commentaries,Larkin,verified public domain,reviewed,Use with discernment,"Public-domain Daniel study resource; useful for prophecy study with doctrinal discernment."
Lectures on the Epistle to the Colossians,H. A. Ironside,https://archive.org/download/lecturesonepistl0000hiro/lecturesonepistl0000hiro_djvu.txt,Commentaries,Ironside,verified public domain,reviewed,Use with discernment,"Early Ironside exposition for teaching and devotional study after the Bible text."
Notes on the Minor Prophets,H. A. Ironside,https://archive.org/download/notesonminorprop0000hair_o4r2/notesonminorprop0000hair_o4r2_djvu.txt,Commentaries,Ironside,verified public domain,reviewed,Use with discernment,"Early Ironside Old Testament prophetic exposition for teaching prep and comparison."
The Four Hundred Silent Years,H. A. Ironside,https://archive.org/download/fourhundredsilen0000hair_b6o5/fourhundredsilen0000hair_b6o5_djvu.txt,Bible Handbooks,Ironside,verified public domain,reviewed,Historical value,"Background resource for the period from Malachi to Matthew; use as history/background, not Scripture."
Exposition of the Epistle of James,William Kelly,https://archive.org/download/expositionofepis0000will_q9n7/expositionofepis0000will_q9n7_djvu.txt,Commentaries,William Kelly,verified public domain,reviewed,Use with discernment,"Public-domain exposition useful for careful comparison and teaching preparation."
Notes on the Book of Daniel,William Kelly,https://archive.org/download/notesonbookofdan00kell/notesonbookofdan00kell_djvu.txt,Commentaries,William Kelly,verified public domain,reviewed,Use with discernment,"Public-domain Daniel notes for comparison after reading the KJV passage."
Lectures Introductory to the Study of the Epistles of Paul the Apostle,William Kelly,https://archive.org/download/lecturesintrodu00kellgoog/lecturesintrodu00kellgoog_djvu.txt,Bible study helps,William Kelly,verified public domain,reviewed,Use with discernment,"Public-domain Pauline epistle survey for Bible study and teaching prep."
Lectures Introductory to the Study of the Gospels,William Kelly,https://archive.org/download/pts_lecturesintroduc_3730/pts_lecturesintroduc_3730_djvu.txt,Bible study helps,William Kelly,verified public domain,reviewed,Use with discernment,"Public-domain Gospel survey for Bible study and teaching prep."
