title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"Studies on the Book of Daniel: A Course of Lectures","J. N. Darby","https://archive.org/download/studiesonbookda00darbgoog/studiesonbookda00darbgoog_djvu.txt","Commentaries","Darby Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Darby Bible exposition for Daniel study and prophetic-background comparison. OCR text should be spot-checked before quotation or public teaching use."
"Nine Lectures on the First Epistle of John","J. N. Darby","https://archive.org/download/ninelecturesonf00darbgoog/ninelecturesonf00darbgoog_djvu.txt","Commentaries","Darby Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Darby exposition for 1 John study and teaching comparison. OCR text should be spot-checked before quotation or public teaching use."
"Seven Lectures on the Second Coming of the Lord","J. N. Darby","https://archive.org/download/cihm_07686/cihm_07686_djvu.txt","KJV / Textual Issues","Darby Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Historical prophetic teaching resource for reviewed comparison, kept secondary to Scripture. OCR text should be spot-checked before quotation or public teaching use."
"An Exposition of the Gospel of John","William Kelly","https://archive.org/download/bwb_Y0-BSQ-075/bwb_Y0-BSQ-075_djvu.txt","Commentaries","William Kelly Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Substantial Kelly exposition for John study and sermon preparation. OCR text should be spot-checked before quotation or public teaching use."
"Facts and Theories as to a Future State","F. W. Grant","https://archive.org/download/cihm_89794/cihm_89794_djvu.txt","KJV / Textual Issues","F. W. Grant Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Historical doctrinal study resource on future state and judgment, for careful review and comparison. OCR text should be spot-checked before quotation or public teaching use."
"The Acts of the Apostles: An Exposition","Arno C. Gaebelein","https://archive.org/download/actsofapostles0000arno_q5g8/actsofapostles0000arno_q5g8_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein exposition for Acts study, Bible background, and teaching preparation. OCR text should be spot-checked before quotation or public teaching use."
"The Gospel of Matthew: An Exposition, Volume 1","Arno C. Gaebelein","https://archive.org/download/gospelofmatthewe01gaeb/gospelofmatthewe01gaeb_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein exposition for Matthew study and commentary comparison. OCR text should be spot-checked before quotation or public teaching use."
"The Gospel of Matthew: An Exposition, Volume 2","Arno C. Gaebelein","https://archive.org/download/gospelofmatthewe02gaeb/gospelofmatthewe02gaeb_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein exposition for Matthew study and commentary comparison. OCR text should be spot-checked before quotation or public teaching use."
"God's Masterpiece: An Analytical Exposition of Ephesians I-III","Arno C. Gaebelein","https://archive.org/download/godsmasterpiecea0000gaeb/godsmasterpiecea0000gaeb_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein exposition for Ephesians study and teaching preparation. OCR text should be spot-checked before quotation or public teaching use."
"The Mission of the Holy Spirit: Five Addresses","H. A. Ironside","https://archive.org/download/missionofholyspi00iron/missionofholyspi00iron_djvu.txt","Christian Living","Ironside Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Ironside addresses for study on the Holy Spirit and practical Christian life. OCR text should be spot-checked before quotation or public teaching use."
"Rightly Dividing the Word","Clarence Larkin","https://archive.org/download/bwb_W9-CVU-096/bwb_W9-CVU-096_djvu.txt","KJV / Textual Issues","KJV Defense / Textual Issues","verified public domain","reviewed","Use with discernment;OCR spot-check","Historical Bible study and dispensational chart resource, kept secondary to Scripture. OCR text should be spot-checked before quotation or public teaching use."
