title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"Notes on the Book of Esther","H. A. Ironside","https://archive.org/download/notesonbookofest0000iron/notesonbookofest0000iron_djvu.txt","Commentaries","Ironside Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Ironside notes for Esther study and sermon preparation. OCR text should be spot-checked before quotation or public teaching use."
"Notes on the Gospel of Luke","J. N. Darby","https://archive.org/download/notesongospellu00darbgoog/notesongospellu00darbgoog_djvu.txt","Commentaries","Darby Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Darby exposition for Luke study and commentary comparison. OCR text should be spot-checked before quotation or public teaching use."
"Weighty Words from the Writings of J. N. D.","J. N. Darby","https://archive.org/download/weightywordsfro00darbgoog/weightywordsfro00darbgoog_djvu.txt","Christian Living","Darby Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Collected Darby selections for devotional reading and doctrinal review. OCR text should be spot-checked before quotation or public teaching use."
"The Great Prophecies of Daniel","William Kelly","https://archive.org/download/greatprophecieso00kell/greatprophecieso00kell_djvu.txt","Commentaries","William Kelly Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Kelly lectures on Daniel for prophecy study, teaching preparation, and commentary comparison. OCR text should be spot-checked before quotation or public teaching use."
"The Prophet Daniel","Arno C. Gaebelein","https://archive.org/download/prophetdanielkey00gaeb/prophetdanielkey00gaeb_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein exposition of Daniel for prophecy study and Bible coverage depth. OCR text should be spot-checked before quotation or public teaching use."
"The Revelation: An Analysis and Exposition","Arno C. Gaebelein","https://archive.org/download/revelationanalys00gaebiala/revelationanalys00gaebiala_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein exposition of Revelation for prophecy study and commentary comparison. OCR text should be spot-checked before quotation or public teaching use."
"The Book of Genesis","Arno C. Gaebelein","https://archive.org/download/bookofgenesiscom00gaeb/bookofgenesiscom00gaeb_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein analysis of Genesis with annotations for book study and teaching preparation. OCR text should be spot-checked before quotation or public teaching use."
"The Prophet Ezekiel","Arno C. Gaebelein","https://archive.org/download/prophetezekielan00gaeb/prophetezekielan00gaeb_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein analytical exposition of Ezekiel for Old Testament prophetic study. OCR text should be spot-checked before quotation or public teaching use."
"The Prophet Joel","Arno C. Gaebelein","https://archive.org/download/prophetjoelexpos00gaebuoft/prophetjoelexpos00gaebuoft_djvu.txt","Commentaries","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein exposition of Joel for Minor Prophets study and teaching preparation. OCR text should be spot-checked before quotation or public teaching use."
"The Harmony of the Prophetic Word","Arno C. Gaebelein","https://archive.org/download/harmonypropheti00gaebgoog/harmonypropheti00gaebgoog_djvu.txt","Bible study helps","Gaebelein Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Gaebelein prophetic Bible study help for Old Testament prophecy connections. OCR text should be spot-checked before quotation or public teaching use."
"The Baptism with the Holy Spirit","R. A. Torrey","https://archive.org/download/baptismwithholys00torr/baptismwithholys00torr_djvu.txt","Christian Living","Torrey Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Torrey doctrinal and practical teaching on the Holy Spirit for Bible study and teaching preparation. OCR text should be spot-checked before quotation or public teaching use."
"The Power of Prayer and the Prayer of Power","R. A. Torrey","https://archive.org/download/powerofprayerpra00torr/powerofprayerpra00torr_djvu.txt","Prayer","Torrey Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Torrey prayer classic for devotional reading, ministry burden, and teaching application. OCR text should be spot-checked before quotation or public teaching use."
"What the Bible Teaches","R. A. Torrey","https://archive.org/download/whatthebibletea00torruoft/whatthebibletea00torruoft_djvu.txt","Bible study helps","Torrey Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Torrey doctrinal Bible study resource for teachers and serious students. OCR text should be spot-checked before quotation or public teaching use."
"How to Pray","R. A. Torrey","https://archive.org/download/howtopray00torr/howtopray00torr_djvu.txt","Prayer","Torrey Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Torrey practical prayer resource for devotional reading and prayer teaching. OCR text should be spot-checked before quotation or public teaching use."
"Lessons from the Life and Death of D. L. Moody","R. A. Torrey","https://archive.org/download/lessonsfromlifed00torr/lessonsfromlifed00torr_djvu.txt","Biographies","Torrey Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Torrey's biographical lessons from Moody for ministry examples and sermon illustrations. OCR text should be spot-checked before quotation or public teaching use."
"Elijah and the Secret of His Power","F. B. Meyer","https://archive.org/download/elijahsecretofhi00meyeuoft/elijahsecretofhi00meyeuoft_djvu.txt","Christian Living","F. B. Meyer Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Meyer character study for devotional reading, Bible background, and teaching application. OCR text should be spot-checked before quotation or public teaching use."
"Samuel the Prophet","F. B. Meyer","https://archive.org/download/samueltheprophet00meytuoft/samueltheprophet00meytuoft_djvu.txt","Christian Living","F. B. Meyer Collection","verified public domain","reviewed","Use with discernment;OCR spot-check","Meyer Old Testament character study for teaching and devotional reading. OCR text should be spot-checked before quotation or public teaching use."
