title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"The Cheque Book of the Bank of Faith","C. H. Spurgeon",https://archive.org/download/thechequebookoft00purguoft/thechequebookoft00purguoft_djvu.txt,Christian Living,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Daily promise readings for devotional use, prayer, listening, and sermon application support."
"The Treasury of David, Volume 1","C. H. Spurgeon",https://archive.org/download/thetreasuryofdav01spuruoft/thetreasuryofdav01spuruoft_djvu.txt,Commentaries,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Psalms exposition and devotional commentary for teaching, preaching, and Scripture meditation."
"The Treasury of David, Volume 3","C. H. Spurgeon",https://archive.org/download/thetreasuryofdav03spuruoft/thetreasuryofdav03spuruoft_djvu.txt,Commentaries,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Psalms exposition and devotional commentary for teaching, preaching, and Scripture meditation."
"Lectures to My Students","C. H. Spurgeon",https://archive.org/download/lecturestomystu00spuruoft/lecturestomystu00spuruoft_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Substantial preaching and pastoral training resource for sermon preparation and ministry development."
"C. H. Spurgeon Autobiography, Volume 1","C. H. Spurgeon",https://archive.org/download/spurgeonsautobio01spuruoft/spurgeonsautobio01spuruoft_djvu.txt,Biographies,Spurgeon Collection,verified public domain,reviewed,Historical value;OCR spot-check,"Spurgeon biography and ministry history for Baptist history, preaching context, and pastoral encouragement."
"C. H. Spurgeon Autobiography, Volume 2","C. H. Spurgeon",https://archive.org/download/spurgeonsautobio02spuruoft/spurgeonsautobio02spuruoft_djvu.txt,Biographies,Spurgeon Collection,verified public domain,reviewed,Historical value;OCR spot-check,"Spurgeon biography and ministry history for Baptist history, preaching context, and pastoral encouragement."
"C. H. Spurgeon Autobiography, Volume 3","C. H. Spurgeon",https://archive.org/download/spurgeonsautobio03spuruoft/spurgeonsautobio03spuruoft_djvu.txt,Biographies,Spurgeon Collection,verified public domain,reviewed,Historical value;OCR spot-check,"Spurgeon biography and ministry history for Baptist history, preaching context, and pastoral encouragement."
"C. H. Spurgeon Autobiography, Volume 4","C. H. Spurgeon",https://archive.org/download/spurgeonsautobio04spuruoft/spurgeonsautobio04spuruoft_djvu.txt,Biographies,Spurgeon Collection,verified public domain,reviewed,Historical value;OCR spot-check,"Spurgeon biography and ministry history for Baptist history, preaching context, and pastoral encouragement."
"John Ploughman's Pictures","C. H. Spurgeon",https://archive.org/download/johnploughmanspi00spurrich/johnploughmanspi00spurrich_djvu.txt,Christian Living,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Plain practical Christian living resource with illustrations useful for teaching and sermon application."
"The Soul-Winner","C. H. Spurgeon",https://archive.org/download/soulwinnerorhowt00spur/soulwinnerorhowt00spur_djvu.txt,Evangelism,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Evangelism and personal witness resource for preaching, teaching, and outreach training."
