title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
Biblical Geography and History,"Kent, Charles Foster",https://www.gutenberg.org/ebooks/40747,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,Historical value,"Book background, Bible geography, or Bible survey help for study preparation."
Buried Cities and Bible Countries,"St. Clair, George",https://www.gutenberg.org/ebooks/65497,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,Historical value,"Book background, Bible geography, or Bible survey help for study preparation."
A Class-Book of Biblical History and Geography with numerous maps,"Osborn, H. S. (Henry Stafford)",https://www.gutenberg.org/ebooks/56019,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,Historical value,"Book background, Bible geography, or Bible survey help for study preparation."
"The Cities of Refuge: or, The Name of Jesus A Sunday book for the young","Macduff, John R. (John Ross)",https://www.gutenberg.org/ebooks/25459,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or Bible survey help for study preparation."
"Bible animals : being a description of every living creature mentioned in the Scripture, from the ape to the coral.","Wood, J. G. (John George); Keyl, Friedrich Wilhelm; Smith, E. A. (Edgar Albert); Wood, T. W. (Thomas W.)",https://www.gutenberg.org/ebooks/42964,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or Bible survey help for study preparation."
"Kingless Folk, and Other Addresses on Bible Animals","Adams, John",https://www.gutenberg.org/ebooks/48399,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or Bible survey help for study preparation."
"Peeps Into China; Or, The Missionary's Children","Phillips, E. C. (Edith Caroline)",https://www.gutenberg.org/ebooks/34199,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, burden, and prayer."
Letters to Children,"Bridgman, E. C. (Elijah Coleman)",https://www.gutenberg.org/ebooks/54055,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, burden, and prayer."
"""They're a multitoode"" and other stories","Stephenson, F. C. (Frederick Clarke)",https://www.gutenberg.org/ebooks/75460,Missions,Missions Biographies,verified public domain,reviewed,Use with discernment;Historical value,"Missions biography and history for examples, burden, and prayer."
South and South Central Africa A record of fifteen years' missionary labors among primitive peoples,"Davidson, Hannah Frances",https://www.gutenberg.org/ebooks/37728,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, burden, and prayer."
The History of the Negro Church,"Woodson, Carter Godwin",https://www.gutenberg.org/ebooks/38963,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, burden, and prayer."
Through lands that were dark Being a record of a year's missionary journey in Africa and Madagascar,"Hawkins, F. H.",https://www.gutenberg.org/ebooks/69906,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, burden, and prayer."
The Works of Mr. George Gillespie (Vol. 1 of 2),"Gillespie, George; Hetherington, W. M. (William Maxwell)",https://www.gutenberg.org/ebooks/26849,Christian Living,Christian Living,verified public domain,reviewed,Historical value,Christian living resource for devotional reading and practical application.
"Fox's Book of Martyrs Or A History of the Lives, Sufferings, and Triumphant Deaths of the Primitive Protestant Martyrs","Foxe, John",https://www.gutenberg.org/ebooks/22400,Baptist History,Baptist History,verified public domain,reviewed,Historical value,Church history and Baptist-history-adjacent resource for historical background and discernment.
A Source Book for Ancient Church History,"Ayer, Joseph Cullen",https://www.gutenberg.org/ebooks/24979,Baptist History,Baptist History,verified public domain,reviewed,Historical value,Church history and Baptist-history-adjacent resource for historical background and discernment.
Bede's Ecclesiastical History of England,"Bede, the Venerable, Saint; Sellar, A. M.",https://www.gutenberg.org/ebooks/38326,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;Historical value,Church history and Baptist-history-adjacent resource for historical background and discernment.
"A record of St. Cybi's Church, Holyhead : and the sermon preached after its restoration, 1879","Stanley, Arthur Penrhyn",https://www.gutenberg.org/ebooks/52261,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Historical value,"Preaching and teaching help for illustrations, exposition, and lesson preparation."
"Post-Mediæval Preachers Some Account of the Most Celebrated Preachers of the 15th, 16th, & 17th Centuries; with outlines of their sermons, and specimens of their style","Baring-Gould, S. (Sabine)",https://www.gutenberg.org/ebooks/55990,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Historical value,"Preaching and teaching help for illustrations, exposition, and lesson preparation."
"Plain Sermons, preached at Archbishop Tenison's Chapel, Regent Street. Second Series","Cowan, James Galloway",https://www.gutenberg.org/ebooks/67036,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,,"Preaching and teaching help for illustrations, exposition, and lesson preparation."
