title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
Works of John Bunyan — Volume 03,"Bunyan, John",https://www.gutenberg.org/ebooks/6048,Christian Living,Christian Living,verified public domain,reviewed,Use with discernment,Public-domain Christian classic for devotional reading.
"The works of the Reverend George Whitefield, M.A., Vol. 1 (of 6)","Whitefield, George",https://www.gutenberg.org/ebooks/68976,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment,Public-domain sermons and tracts for preaching and teaching preparation.
"The works of the Reverend George Whitefield, M.A., Vol. 2 (of 6)","Whitefield, George",https://www.gutenberg.org/ebooks/71140,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment,Public-domain sermons and tracts for preaching and teaching preparation.
"The works of the Reverend George Whitefield, M.A., Vol. 3 (of 6)","Whitefield, George",https://www.gutenberg.org/ebooks/73012,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment,Public-domain sermons and tracts for preaching and teaching preparation.
"The works of the Reverend George Whitefield, M.A., Vol. 4 (of 6)","Whitefield, George",https://www.gutenberg.org/ebooks/73267,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment,Public-domain sermons and tracts for preaching and teaching preparation.
"The works of the Reverend George Whitefield, M.A., Vol. 5 (of 6)","Whitefield, George",https://www.gutenberg.org/ebooks/77034,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment,Public-domain sermons and tracts for preaching and teaching preparation.
"The works of the Reverend George Whitefield, M.A., Vol. 6 (of 6)","Whitefield, George",https://www.gutenberg.org/ebooks/77041,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment,Public-domain sermons and tracts for preaching and teaching preparation.
Hurlbut's Bible Lessons for Boys and Girls,"Hurlbut, Jesse Lyman",https://www.gutenberg.org/ebooks/29067,Bible Handbooks,Bible Study Essentials,verified public domain,reviewed,Historical value;Use with discernment,Bible lessons and teaching resource for family and classroom use.
Outline Studies in the New Testament for Bible Teachers,"Hurlbut, Jesse Lyman",https://www.gutenberg.org/ebooks/41602,Bible Handbooks,Bible Study Essentials,verified public domain,reviewed,Historical value;Use with discernment,Bible handbook or survey help for teaching preparation.
Outline Studies in the Old Testament for Bible Teachers,"Hurlbut, Jesse Lyman",https://www.gutenberg.org/ebooks/39014,Bible Handbooks,Bible Study Essentials,verified public domain,reviewed,Historical value;Use with discernment,Bible handbook or survey help for teaching preparation.
"The World's Great Sermons, Volume 01: Basil to Calvin","Kleiser, Grenville",https://www.gutenberg.org/ebooks/11981,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
"The World's Great Sermons, Volume 02: Hooker to South","Kleiser, Grenville",https://www.gutenberg.org/ebooks/11627,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
"The World's Great Sermons, Volume 03: Massillon to Mason","Kleiser, Grenville",https://www.gutenberg.org/ebooks/11713,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
"The World's Great Sermons, Volume 04: L. Beecher to Bushnell","Kleiser, Grenville",https://www.gutenberg.org/ebooks/44411,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
"The World's Great Sermons, Volume 05: Guthrie to Mozley","Kleiser, Grenville",https://www.gutenberg.org/ebooks/44420,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
"The World's Great Sermons, Volume 06: H. W. Beecher to Punshon","Kleiser, Grenville",https://www.gutenberg.org/ebooks/44439,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
"The World's Great Sermons, Volume 07: Hale to Farrar","Kleiser, Grenville",https://www.gutenberg.org/ebooks/44441,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
"The World's Great Sermons, Volume 09: Cuyler to Van Dyke","Kleiser, Grenville",https://www.gutenberg.org/ebooks/44450,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,Use with discernment;Not all doctrine endorsed,Historical sermon collection for teaching examples and homiletic study.
