title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"The Expositor's Bible: The Second Book of Kings","F. W. Farrar",https://www.gutenberg.org/ebooks/42027,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain exposition for teacher preparation after reading the KJV text.
"The Expositor's Bible: The Book of the Twelve Prophets, Vol. 2","George Adam Smith",https://www.gutenberg.org/ebooks/50747,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain prophetic-book exposition for teaching support.
"The Expositor's Bible: The Book of Isaiah, Volume 2","George Adam Smith",https://www.gutenberg.org/ebooks/43672,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain Isaiah exposition for study support.
"The Expositor's Bible: The First Book of Kings","F. W. Farrar",https://www.gutenberg.org/ebooks/42891,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain exposition for Old Testament teaching.
"The Expositor's Bible: The Acts of the Apostles, Vol. 1","George Thomas Stokes",https://www.gutenberg.org/ebooks/42258,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain Acts exposition for teaching support.
"The Expositor's Bible: The Book of Proverbs","Robert F. Horton",https://www.gutenberg.org/ebooks/42189,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain Proverbs exposition for study and teaching.
"The Expositor's Bible: The Books of Chronicles","W. H. Bennett",https://www.gutenberg.org/ebooks/40235,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain Chronicles exposition for Bible survey work.
"Expositor's Bible: The Book of Job","Robert A. Watson",https://www.gutenberg.org/ebooks/40470,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain Job exposition for teaching support.
"The Expositor's Bible: The Book of Ezekiel","John Skinner",https://www.gutenberg.org/ebooks/46975,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain Ezekiel exposition; keep Scripture primary.
"Expositor's Bible: The Epistles of St. John","William Alexander",https://www.gutenberg.org/ebooks/40775,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain exposition for John's epistles.
"The Expositor's Bible: The Gospel According to St. Mark","G. A. Chadwick",https://www.gutenberg.org/ebooks/37120,Commentaries,Commentary,Verified,Reviewed,Use with discernment,Public-domain Mark exposition for lesson preparation.
